label	sentence
0	Louisa put down the book , crossed to the bed and wrapped an arm <head>about</head> Emilia 's shoulders .
2	I am not sure <head>about</head> the precise details , but I do believe than when Great-Grandfather Tallentire became old and decided to retire he refused to allow his sons to carry on the licence .
2	At her Dunblane home last night , she said : ` I am very upset <head>about</head> the story .
0	The others are always barging <head>about</head> the kitchen and the living-room .
0	He strode <head>about</head> the drawing room restlessly , occasionally hitting the back of a chair with his hand , and she saw how pent-up were his energies .
2	Compare that to one day recently when there were more than seventy calls <head>about</head> a schedule change .
2	Can a row <head>about</head> the endless Saturday afternoons he now spends bent over the bonnet of his old car be used as a vehicle for their underlying struggle ?
2	Jovial inquiries <head>about</head> illegal subsidies to industry , Rover for instance , got short shrift .
2	The other waitress whined <head>about</head> the increased work when Sharon explained what was happening but Blanche silenced her with a steely glare .
2	His mother had begun to feel very angry <head>about</head> his refusal to eat as he had started to lose weight , which worried her .
2	However , people do not usually live in a state of high intellectual awareness <head>about</head> their every action , but simply get on with living .
2	The assertion <head>about</head> the murder of the father setting problems for the unconscious life of all later generations has been left unexamined in anthropology and sociology .
2	But Christian Aid has also recognised -- for example in grants to the Institute of Contextual Theology in South Africa -- the value of church groups ' reflection <head>about</head> development in support of its practice .
2	"The girl , obviously acutely embarrassed , mumbled something <head>about</head> Bert maybe knowing a bit more , ` him being there , like "" ."
2	He must show , on the balance of probabilities , both that he did not examine the article and that he entertained no suspicions <head>about</head> the nature of its contents .
1	It is not that he lies <head>about</head> them , rather that only a patient and omnivorous prospector would have found the particular treasures which he quotes .
2	Even when common goals have been established , conflict may be generated during the planning process because of disagreement <head>about</head> the way in which these goals should be achieved .
2	Yet this does not stop him being blunt <head>about</head> Rhoda the Rhino -- otherwise known as Margaret Thatcher
2	SHOE repairer Alan Potts announced his good news in big letters after being inundated with inquiries <head>about</head> his daughter 's new baby .
2	On one occasion she planned to fly up to Scotland for a meeting <head>about</head> the children 's work .
2	What had once been a largely invisible world of mental hospitals , private suffering , and professional services now appears in local communities as homelessness , strange persons in public , and bewilderment <head>about</head> who is responsible for whom .
2	And through her appeal she hopes to raise public awareness <head>about</head> the desperate situation many thousands of women with fertility problems are in .
2	It leaves the notion of understanding untouched ; Hume seems to agree that we understand propositions <head>about</head> unobserved objects , although he does argue on independent grounds that they are mostly false .
2	Therefore , all viewers have the right to ask and receive explanations <head>about</head> a station 's programming , contents of programmes and advertising .
2	Sir John had then stamped off , muttering curses <head>about</head> public officials who did n't seem to care .
2	They exchanged banter and gossip <head>about</head> old friends , new acquaintances , and fresh scandals .
2	Doctors should be advised , they must inform patients <head>about</head> side effects and dangers .
2	We shall find reason for disquiet <head>about</head> this argument .
2	"The Soviet news agency , Tass , was also explicit <head>about</head> developments in Romania , stating that ` tension was high "" inside Timisoara ."
2	He was evasive <head>about</head> Rob too ; almost as if he had n't wanted to talk about him .
2	With that check came renewed questioning <head>about</head> the balance between services provided by the social services departments and the many forms of family , neighbourhood and commercially purchased care that they supplemented .
2	Tactful questioning <head>about</head> bowel habit is usually part of patient assessment in surgical wards for several reasons :
2	"All the allegations <head>about</head> his membership of the Communist Party were paraded and much was made of his role in London in leading a little group known as ` The Circle "" ."
2	And no , I 'm not kidding <head>about</head> the name .
2	At least two lives of Jackson Pollock are also in the works , as is another script <head>about</head> the collector Joseph Duveen .
2	We can compare the growth of our peas and beans , and moan <head>about</head> the weather .
2	"` But so are you , "" I protested , really astonished because he had been so reasonable <head>about</head> my activities up to now ."
2	"` Let 's not fight <head>about</head> a few hours . """
1	There is a social stigma <head>about</head> suicide and his family do n't believe he did it .
0	She wore her dark hair in plaits <head>about</head> her head .
2	Each model can cope with all the evidence and the choice between them is thrown back on criteria like elegance , economy , fruitfulness , or perhaps , indeed , conformity with deep underlying presumptions <head>about</head> human nature .
2	It can do this because during the recent election campaign , there was no great disagreement <head>about</head> economic policy among the parties .
2	"The opposition is screaming <head>about</head> a "" travesty of democracy "" ."
2	However , even those who do not doubt the terrible things that happened can still squabble <head>about</head> their meaning .
2	A well plotted and beautifully written thriller <head>about</head> water fraud , alcoholism and the relationship between father and son .
2	I 'm much more confident <head>about</head> my ability and I have learned a lot .
2	The second step is promoting participatory dialogue <head>about</head> these concerns .
2	"Not too forthcoming <head>about</head> himself , was he ? """
0	Schramm tried to imagine what it was like , clambering <head>about</head> the Jebel , searching for something that might not exist , in a very black night , with a lethal enemy somewhere in the darkness .
2	The first important truth for voters in such spirits is that , in their dismay <head>about</head> recent economic and political errors , they are forgetting the immense Tory achievements which preceded them , and are now at risk again .
2	This had left a problem in raising public awareness <head>about</head> the shortage because people saw a lot of nurses ( mainly trainees ) around the RVH ; but they are not all qualified to carry out the work .
2	When interviewed by complaints department officers he made similar allegations <head>about</head> fabrication of admissions .
2	These two treatises gave classic expression to the opposing arguments <head>about</head> the eucharist , and they have been of great interest to theologians ever since .
2	Irishman Mr MacSharry was so furious <head>about</head> Mr Delors ' interference that he resigned his post .
0	Grimsdale 's eldest daughter cleaned the room briefly with a broom and the rest of the children scurried <head>about</head> the house .
0	Snow bunting were flitting <head>about</head> the lochan on the walk over to Sgurr a'Mhuilinn .
2	Can you advise me <head>about</head> the pros and cons and tell me the best way to retain their copper finish ?
2	"` You 're terribly unkind <head>about</head> Colonel Foxton , "" Christabel told her ."
0	Inwardly seething , she did as she was told , carefully tucking her dressing-gown <head>about</head> her legs .
2	In time , perhaps , she would make efforts to conceal her resentment about his ability to make her feel guilty , and he would make efforts to conceal his anguish <head>about</head> the loss of her .
2	People may vote with one hand on their wallets , but their guesses <head>about</head> future prosperity are tangled up with judgments of the competing politicians .
2	They 'd probably have a row <head>about</head> it .
2	In these circumstances facile and fallacious deductions <head>about</head> the consequences of having abolished the death penalty were bound to be rife .
2	He thanked her but countered cunningly with a query <head>about</head> who her friends might be .
0	Each protozoon makes a biassed random walk <head>about</head> the screen .
2	At no time , either , did Zacco either seek to be alone with him , or utter a word of reproach <head>about</head> his failure with Famagusta .
2	It is unique in its opportunities to establish from the outset good habits in terms of expectations of parental involvement and willingness to participate in honest exchange <head>about</head> the child 's progress .
2	As you can see , I 've never had as much difficulty in coming to a conclusion <head>about</head> any piece of software .
2	The old woman might become hysterical again and renew her accusations <head>about</head> Joseph , or she might follow Rain 's own reasoning and link Maurin with the attack at the museum and Sabine Jourdain 's murder .
2	It appeared that my guess <head>about</head> the tide had been near enough .
2	Most of the Balkan states were irritated <head>about</head> territory .
2	Although outspoken <head>about</head> others , Fenton was naturally shy and very sensitive to criticism of himself .
2	Though literary festivals could be immensely enjoyable , especially if they took you to some pleasant distant city , like Toronto or Adelaide , there was something absurd <head>about</head> writers gathering together in this way .
2	He did n't allow himself to think <head>about</head> Zoe until he arrived at the field entrance to the cottage .
2	"They spoke <head>about</head> the ` concerns and worries "" President Gorbachev had expressed about the developments in East Germany in recent days ."
2	She wanted to make some sarcastic retort <head>about</head> his being so bossy , but he was already clearing away the plates , not paying the slightest scrap of attention to her , and she realised that it was this lack of attention that really annoyed her .
2	Indeed she had been sharp and perceptive <head>about</head> people .
2	It was no use brooding <head>about</head> it , but what else could she do ?
2	"` We tried to encourage the people to work with each other , and talk to politicians , because they argued a lot <head>about</head> what they were going to do all the time , "" he said ."
2	"There is a good deal of informal communication <head>about</head> courses in particular subjects , some of it passing along the external examiner grapevine , some of it through the ` invisible colleges "" of research networks ."
2	Any pronouncement <head>about</head> educational technology needs to be scrutinized with great care to ascertain what meaning is intended -- the machines , the machines in use , or a methodology .
2	In fact , he was often quite outspoken <head>about</head> people , though usually with reference to their harmless foibles .
0	Tuppe glanced <head>about</head> the place .
2	Since then he has been busy working on a medical book <head>about</head> brain tumours in a bid to increase public awareness and raise vital funds for research .
2	Service wives did not grill their husbands <head>about</head> bloody work .
2	Clearly the auction house feels that in the light of new revelations <head>about</head> the treasure 's origins , its manner of acquisition and details of falsified export licenses , any attempt to offer it at auction would be bound to result in failure and would not redound to the auction house 's credit .
2	"` I 'm sure Daddy was far from delighted to see a bottle of whiskey drank in the house , "" Rose was doubtful <head>about</head> the whole idea ."
2	Just occasionally the tensions spilled over , such as when she berated Moira publicly <head>about</head> the way she was feeding her first child .
0	"` The only car apart from a Rolls-Royce that he could fit into was an extra large Range Rover , "" says the driver , who also tells hair-raising tales of ferrying Maxwell <head>about</head> town ."
2	"` Can you make any guesses <head>about</head> who might have done this ? "" asked Jean ."
2	Prof Dick Van Velzen , of Liverpool University 's Department of Foetal and Infant Pathology , said : ` We held a meeting <head>about</head> this on Thursday and Friday .
2	Thank you for your calls <head>about</head> what 's up there in my loft .
2	I had learned something <head>about</head> the protest vote .
2	Arguments about language , in any case , need to be separated from arguments <head>about</head> style , particularly in a period of fast linguistic change , such as the Merovingian Age .
2	Whatever the strength of Danny Gardiners allegations <head>about</head> drug dealing in jail , it 's clear that staff at Gloucester prison are happy that there 's no major drug problem behind the prison walls .
2	Gran had been muttering <head>about</head> storms for days and she liked her to stay close at these times .
2	She was polite <head>about</head> the leeks and lumpy cheese and said a similar thing could be done with endives and it looked at first as if the lunch was going to prove a slightly awkward affair .
2	Rutherford was muttering something <head>about</head> a by-pass always changing a country community , as if he felt the need to apologise for the place .
2	This sounds counter-productive , but the theory is that all those self-employed lawyers and doctors and dentists will be more truthful <head>about</head> their income if the government is demanding less of it from them .
2	Enid had sneaked into Maud 's room for a quick conference <head>about</head> Mildred .
2	Shakespeare 's drama is celebrated for its poetry , a compliment that on the surface suggests ideologically neutral approval of its language , but which also belies suppositions <head>about</head> the attitudes the plays ' language articulates .
2	Some exchange <head>about</head> holidays , even the weather , sets the scene ; then the interview can begin .
2	She listened uncomprehendingly to Wilcox 's technical explanations <head>about</head> the drag and the cope , core boxes and coffin moulds .
2	When setting up a community leg ulcer clinic , nurses need to be knowledgeable <head>about</head> many aspects of care ( Fig 1 ) .
2	"` So he still has n't contacted Bailey <head>about</head> the hit ? """
2	There was much conversation <head>about</head> the leaves .
2	The basic answer lies in the guesses <head>about</head> future cash flow .
2	He mumbles some nonsense <head>about</head> clowns being the cause of peace -- perhaps the money for the convention is the peace dividend ?
2	"The way they joke <head>about</head> their LP going to 207 ` with an anchor "" , the way they break down the myths of the American Dream and the Troubles back home"
0	I gave you yesterday the analogy of the home , and now we can imagine Mary bustling <head>about</head> the home with water for washing , for cooking and for cleaning .
0	"When we see pictures in the colour supps of some half-dead , prunelike Hollywood mogul escorting a twenty-year-old blonde bombshell <head>about</head> the place , we do not say , ` Oh I thought he would have gone for somebody more half-dead and prunelike . """
2	A ballad <head>about</head> a soldier returning from war and being wooed by the king 's daughter .
2	Well , if that 's the reason they should at least be honest <head>about</head> it .
2	He was also dubious <head>about</head> the interview ; he tried to persuade me to settle for interviewing Ortega 's brother , Humberto .
2	` The party needs a period of serious reflection <head>about</head> what went wrong and what needs to be done .
2	We filled in the acceptance form and phoned the school <head>about</head> a visit .
2	The strongest disapproval often comes from those who scream <head>about</head> liberties if their own particular indulgences -- for assault rifles , say -- are attacked .
2	` Of course I still have a wife , but there 's no need for you to worry your pretty little head <head>about</head> it .
2	We would like to add comments <head>about</head> its use relevant to non-anaesthetists .
2	Because beliefs <head>about</head> ourselves are self-fulfilling , these people will continue to find themselves in situations in which they can prove themselves right .
2	` Well , sir , it 's not so irrelevant because while he was in that curacy there was some sort of row <head>about</head> a boy in the youth club .
2	So a national curriculum in English must reflect our values and beliefs , and we need to be as explicit <head>about</head> these as possible .
2	"All week long , the Hollywood gossip <head>about</head> this case was of drugs , mysticism and off-beat sex , and for once there may be more truth than fantasy in the flashy talk of the town . """
2	His resignation , and the subsequent revelations <head>about</head> his personal life , caused widespread shock in Ireland .
2	They also put Unionists on the defensive , prompting them to make accusations <head>about</head> a republican and Communist conspiracy which stoked fears among their own rank-and-file supporters .
2	I was mad <head>about</head> her being killed , mad at whoever killed her .
2	He felt safe with Jordan , and for this reason viciously pushed all thoughts <head>about</head> Zambia to the back of his mind .
2	But you can t spend a lifetime in a shipping office without learning something <head>about</head> ships .
0	"` Where are we ? "" he asked , peering <head>about</head> him ."
2	The politicians made vague promises <head>about</head> independence .
2	Mr Day was not at home to comment <head>about</head> his departure .
2	She grilled him <head>about</head> women she saw in hotel lobbies , as if he knew each one personally .
0	He strutted <head>about</head> the office on his flat feet and smiled too much .
2	They 'd probably have a row <head>about</head> it .
2	She knows nothing <head>about</head> this deal .
2	I have a hunch <head>about</head> her -- she is definitely someone to watch for the future .
2	"They do n't sweat and whine <head>about</head> their condition , they do n't lie awake in the dark and weep for their sins . """
2	"I 've had enough of being talked about , everybody whispering <head>about</head> Auntie Mavis 's seances , everybody blaming me just for living with her . """
0	"` Well , not march <head>about</head> the country with petitions , like those wretched Blanketeers , at all events . """
2	He said he had remained silent <head>about</head> Mr Naqvi being held but would now speak .
2	In any society , we find beliefs <head>about</head> language that are simply accepted as common sense .
2	Have you ever felt so angry <head>about</head> men that you 've been moved to write a song about it ?
2	She also had to parry some delighted but pointed questioning <head>about</head> Rohan .
2	I 'm phoning <head>about</head> our dinner on the twelfth of November ; I want to discuss the seating arrangements .
2	More dramatically , in the spring of 1990 , a senior DEA intelligence analyst confirmed that most of what Aviv had said in his report <head>about</head> narcotics trafficking through Frankfurt airport was true .
0	He cast a glance <head>about</head> him , noting the half-empty spaces of the undercroft , and the faint gleam of light from above-stairs .
2	"I 'll have to try to forget <head>about</head> Anne and get on with life -- but it will be hard . """
2	The football authorities have debated endlessly <head>about</head> the impact of these changes on their game .
2	Basil could read with ease the natural image-making of children and was in fact deeply knowledgeable and perceptive <head>about</head> the developmental stages of children 's drawings .
2	His embarrassment <head>about</head> self-disclosure gives the impression , belied by his other books , that he knew nothing of the mystery that grace works by means of human weakness , not by side-stepping it .
2	Why should Kathleen not visit the nursery garden , why had it been necessary to make the explanation <head>about</head> the geranium plants , why had she flushed with guilt and fear and concealment ?
2	True beliefs are n't generally better than false ones in any moral sense : there is usually nothing morally wrong about being mistaken in one 's beliefs <head>about</head> matters of fact .
2	` Nothing of importance , he just mumbled <head>about</head> shadows , shadows on the Kinghorn Ness .
2	As Feynman has said, we are asked to believe that the historian who makes a statement <head>about</head> Napoleon simply means that there are books in libraries which make assertions similar to his own.
2	He admits to becoming irritated <head>about</head> Sinead 's continual soul-searching over her family problems .
2	The yew had been grown by John Combes in the early 1700s when this house was built , and there had been an altercation about it ; there had also been an altercation <head>about</head> the building .
2	THERE was something particularly touching <head>about</head> the picture of murdered teenager Johanna Young that dominated newspaper front pages this week .
2	She said neither company had bothered to attend a public meeting <head>about</head> the proposed speed restrictions .
2	I was a bit embarrassed <head>about</head> that .
2	You need to be open <head>about</head> the way you have chosen to behave .
2	And then Mike ran off screaming <head>about</head> snakes .
2	A storm forced her boat into Dublin , where she met the deputy , Henry Cromwell , and cautioned him <head>about</head> his treatment of Quakers .
2	I wo n't ever tell <head>about</head> it .
2	Now the tory party are forever lecturing us <head>about</head> choice are they not .
2	Equally , many countries would do well to acknowledge the honesty of subSaharan nations in being largely open <head>about</head> the nature and scale of the epidemic within their borders .
2	` She was n't outspoken <head>about</head> her political views .
2	Contentions <head>about</head> the excessive harshness of the courts to women offenders really have two aspects .
2	Mrs Jones expected feedback and dialogue <head>about</head> the development of an intervention strategy .
2	Now that the group has come to a better understanding <head>about</head> some aspect of these problems , how can they feel Empowered to act for change ?
2	"` My colleague in America phoned yesterday evening <head>about</head> your book . """
2	Well now , I had a complaint <head>about</head> you this morning .
2	They would be moving , and he pondered <head>about</head> that move , thinking about the gun .
2	"` But I do n't know the first thing <head>about</head> baking , "" stammered Charlie as he fell back into his chair ."
2	World Cup assistant coach Bob Templeton , an indomitable figure in most things rugby for more than 20 years , is outspoken <head>about</head> the game guiding its future .
2	It is not surprising that he found in addition to writing about her , he had to sing <head>about</head> her , too .
2	But in contrast to Mama Mosambiki 's oblique approach , the Kafala Brothers have chosen in this album to sing directly <head>about</head> the cruelty and devastation of civil war in Angola .
2	A lot of people are inquiring <head>about</head> remortgages but often when they find out what exactly is involved they are happy to stay where they are .
2	It is certainly good for me physically , though I am a little dubious <head>about</head> its ultimate good .
2	After dinner Leonora returned to her knitting , glad of its soothing monotony , when Penry began musing <head>about</head> her background .
2	This leads on to some general considerations <head>about</head> decision-making in a bureaucracy .
2	And the same general pattern applied , in a much weaker form , to allegations <head>about</head> ITV .
2	Where the book scores is in its revelations <head>about</head> attitudes towards opera management and about deals that went on behind the scenes .
2	While I admire the saddle-stitching on the suitcase , Karl has moved on to a conference <head>about</head> the length of Gisela 's fringe .
1	It may be relevant for the Industrial Tribunal to investigate whether at the time he was dismissed and if not then when thereafter , he knew that he had the right to complain that he had been unfairly dismissed ; in some cases the Tribunal may have to consider whether there has been any misrepresentation <head>about</head> any relevant matter by the employer to the employee .
2	An information office is shortly to be set up by East Hampshire District Council to answer queries <head>about</head> the drainage work taking place in the village .
2	He muttered something <head>about</head> the place being primitive .
2	It may be recalled that Lanfranc 's doubt <head>about</head> the sanctity of Elphege arose from lack of information about the circumstances of his death .
2	I do not wish to gloat <head>about</head> the sad decline this season of Darlington , but I have written several letters pointing out the probable outcome relegation .
2	He remembered telling Michael , the albino boy , about her , boasting <head>about</head> her beauty .
2	He was no longer a fearless defender of the cause but a simple German father , scared <head>about</head> his son , needing a shoulder to cry on .
2	Not having done very well at school ( not even allowed to sit the Oxbridge exams ) , she had nevertheless been diligent <head>about</head> her piano lessons , and was in fact quite good on the instrument .
2	You 're not going to write <head>about</head> this ? '
2	It is in this arena that some of the fiercest intellectual fighting <head>about</head> art is taking place , though the contests range wider than the visual arts to politics and economics .
2	At first she was shy but then she chattered <head>about</head> Nantes , how she missed the dark woods and green fields of Brittany .
2	"As we become more proficient in meditating <head>about</head> the ` I and Thou "" , so will we find more beauty ."
2	"I just sing <head>about</head> stuff that 's directly involved with me . """
2	Your article included some gratuitous remarks <head>about</head> lifestyle and income .
2	Two people who speak the same language can always work towards an understanding <head>about</head> what each of them is talking about and what each of them wishes to achieve by what they say .
2	You should be as devious and cunning <head>about</head> this as the book is itself .
2	Let ministers of local churches have copies as a good exercise in public relations and also just in case they have new members of their flock inquiring <head>about</head> schools in the area .
2	No doubt we shall hear <head>about</head> the street children from Amnesty other sources from time to time .
2	"` If we did not feel 100 per cent positive <head>about</head> our ability to fly the plane safely , we would not put it in the air . """
2	The smooth style of Bryan Gould and the calm air of managerial competence conveyed by John Smith are deemed essential to make southern voters feel confident <head>about</head> the new Labour Party .
2	He said : ` The lads are disappointed <head>about</head> the manager 's ban , but these are the sort of games you come into football for .
2	In private , politicians from other countries are becoming increasingly rude <head>about</head> Britain .
2	"` I am uncertain <head>about</head> my future as at the moment it seems we do n't have a manager . """
2	Eventually , directors like George Stevens and Howard Hawks retaliated by deliberately making unflattering remarks <head>about</head> Cohn .
2	As with other strong personalities , people were seldom neutral <head>about</head> her .
2	The bishop 's spokesman Canon Andy Radford said : ` It must be emphasised that no charges have been brought against the bishop and the allegations <head>about</head> him are unsubstantiated .
2	The parents needed not only extensive marital therapy but also to realize that Suzy needed sympathy and understanding <head>about</head> the distress she felt when her parents argued .
2	The bank had organized everything concerning the various consultants , the share price , and the prospectus -- a forty-page , glossy volume <head>about</head> the company 's structure , trading situation , and future plans .
2	"You 're pleased <head>about</head> his engagement -- he told me that some time ago -- and you 've as good as admitted it tonight . """
2	Presentations of costs of residential and fostering care and intermediate treatment which ignore these important considerations can result in unjustified conclusions <head>about</head> cost effectiveness .
2	In Washington there was understanding , but just as much disquiet <head>about</head> British Defence policy .
2	Pineau informed de Gaulle <head>about</head> the strongly republican and socialist trend of resistance ideology and tried to persuade him to abandon his political reticence , which was causing concern among resisters .
2	Do n't fret <head>about</head> Jonathon , Melanie .
0	I could do no more than prowl <head>about</head> him .
2	Of course , just as sociologists and poets worry a lot <head>about</head> their actual influence , journalists may often see themselves as hacks and hackettes .
2	Clearly the auction house feels that in the light of new revelations <head>about</head> the treasure 's origins , its manner of acquisition and details of falsified export licenses , any attempt to offer it at auction would be bound to result in failure and would not redound to the auction house 's credit .
2	I 've come to a lot of conclusions <head>about</head> myself within the last four months .
2	"` I thought you came round here to ask if I 'd seen anything suspicious last night , not grill me <head>about</head> my sex life . """
1	Sir Curtis Keeble , former BBC governor , said the disclosures <head>about</head> Mr Birt 's finances should be examined by the corporation 's board .
2	Their doctor had murmured something <head>about</head> a weak heart , but Lord Grafton had dismissed the warning , saying the physician was an old woman .
2	Always be honest <head>about</head> your intentions or you may regret it later .
2	I am often secretive <head>about</head> what I eat , trying to hide it from my friends and family .
2	What many feminists find most surprising <head>about</head> the article is its appearance at a time when the abortion issue has regalvanised women .
2	This project compares assumptions incorporated into social policies about these obligations , with people 's beliefs <head>about</head> them , and how such beliefs are put into practice .
2	They talked a lot <head>about</head> his childhood .
2	Whatever the courtesy , the Profitboss is sincere <head>about</head> it .
2	But Beattie is a little apprehensive <head>about</head> the effect of what he has said .
2	You gripe about your mother and I gripe <head>about</head> mine .
2	"` Yes , I 'm not sure <head>about</head> abortion . """
2	In fact , she noticed , there was something ever so slightly contemptuous <head>about</head> his expression .
2	Only periodically does Mr Tebbit seem to have looked to Powell as a politician who could express some of his gnawing doubts <head>about</head> the Heath government .
2	Life , she felt vaguely but powerfully , was more than fervent chats <head>about</head> great literature .
2	"On the other hand , there are those on both sides whom I would label ` meaning "" theists and ` meaning "" atheists , between whom a dialogue <head>about</head> God 's existence can take place ."
2	"I feel very angry and disappointed <head>about</head> the incident . """
2	Or your negative beliefs <head>about</head> men ?
2	"I am doubtful <head>about</head> the validity of ` torturing the evidence "" : surely , if you torture someone the usual result is that he will speak the truth ."
2	His essay <head>about</head> his experience of torture was published in a French journal and an anthology of prison writings in 1986 .
2	"Wycliffe said : ` Obviously you 've heard <head>about</head> Francis Garland -- how did you hear , by the way ? """
2	When the firemen finally arrived I pointed at the sacrificial pyre still burning and burbled something <head>about</head> my priceless slide-collection .
2	At night , as they huddled round their fires , the people would murmur <head>about</head> the evil spirit who kicked holes in their kilns so that they had to buy their bricks from Dai Huang .
0	` But I came to realise that it 's all very well gambolling <head>about</head> the countryside feeling at one with nature , but people do n't change completely .
2	` But I 'll argue until the day I die that we are singing <head>about</head> something serious .
2	"In his quiet way he really grilled me <head>about</head> Sandy . """
2	He decided to be nice <head>about</head> the whole business , though he still could not see the point of it , and offered to put the little biscuity things into bowls .
2	Conservative Central Office is coy <head>about</head> his involvement , still maintaining that Major writes his own speeches .
2	With planning it is possible for all of us to clarify our thoughts <head>about</head> our hopes and future needs .
2	We have had a few meetings <head>about</head> the rule but they have always brought in extra bodies to out-vote us .
2	Well let's talk , let 's talk a little bit <head>about</head> the personnel that you 've got on the City Council now and the kinds of services in general that you 're providing .
2	Another advantage of small chips with few address lines is that each cell of a chip only stores a very crude fragment of knowledge <head>about</head> the image on the retina .
2	"The reports were stimulated by Italian government admissions <head>about</head> the existence of a secret force, code-named "" Gladio "" , and allegations about the involvement of Gladio in right-wing extremist action."
2	Second , when making an assessment , information about what a child is able to do in one situation must necessarily form the basis of inferences <head>about</head> what a child might be able to do in other situations .
2	He was quite frank <head>about</head> the whole thing , told us H. had given him a fiver to turn up , asked Madge if she wanted to go through with it , which of course she did n't .
2	Hordes of listeners rushed to the beach to catch a glimpse of the star and the cameras , and inundated the radio station with inquiries <head>about</head> the exact location .
2	If the popular music press start raving <head>about</head> you , people will flock to your gigs .
0	'T is the fly buzzing <head>about</head> the blaze till its wings are scorched .
2	Daniel patted his wife again and tried to reassure her , although he was worried himself <head>about</head> Billy 's wellbeing .
2	I remembered all the things Mum and Dad had said <head>about</head> strangers and when a man slowed down when he saw me and said ` What 's up , dear ?
2	The spivs will wave away any objections with promises <head>about</head> easy resale , low cost finance and tiny deposit payments .
2	But this latter convention has no place in a volume <head>about</head> English local history , or at least none the author has ever discovered .
2	The Princess had spent the previous day reading Love and Pain , Sandra 's book on violent relationships , and was able to speak with some understanding <head>about</head> domestic violence .
2	"` I learned a lot <head>about</head> men , "" she said ."
2	The clinical teacher can become knowledgeable <head>about</head> a particular specialty , and will be aware of the demands of the ward .
2	There were suspicions <head>about</head> the role that Conservative Central Office played in orchestrating some of these manoeuvres .
2	Angry at being put at such a disadvantage , Shaughnessy twice confronted Aviv <head>about</head> the leak , and twice Aviv denied having had anything to do it .
2	You gripe <head>about</head> your mother and I gripe about mine .
2	Women were empowered to speak <head>about</head> sex , challenging the authority of the experts and drawing attention to their gendered power relations .
2	The media excitement <head>about</head> Enid Blyton and Captain W. E. Johns soon died away .
2	Indeed , Greene 's latest revelations <head>about</head> his faith-non-faith appear quite knowingly hilarious .
2	Dexter recalled that halfway through the homelessness report Nicola had delivered a short lecture <head>about</head> the appalling conditions in which one family lived while managing to look stunning at the same time .
2	Father Devine went on to speak of his admiration for Shakespeare , but had no fresh gossip <head>about</head> the Bard .
2	Here are some of the things the French find funny <head>about</head> Britain : LOLLIPOP LADIES : They find the uniforms hilarious .
2	"But for the quick thinking of the two officers -- the first with his hunch <head>about</head> north Wales , the second with her code breaking -- we might have lost the whole team . """
2	He had n't sounded very pleased <head>about</head> something -- that made two of them .
2	"You did not brag <head>about</head> your fine friends then , Lord Montacune . """
2	I suggest that the general public also regard statements <head>about</head> animal tested products with caution, as it is well known that many of these products have had extremely adverse effects on human beings.
2	Bob was always evasive <head>about</head> Tessa , which made Jannie suspect that he might be serious about her .
2	In general , responses to direct or indirect questioning <head>about</head> non-standard varieties are always conditioned by speakers ' awareness of their social significance and usually reflect knowledge of the standard rules .
0	"` But I do ! "" she exclaimed , almost throwing herself back into his arms , and frenziedly clasping her hands <head>about</head> his neck ."
