A sorting clerk <head>at</head> the GPO , he came from a less settled and respectable background , being the illegitimate son of a domestic servant .	1(1)
At the time , I was far from alone in wondering if he had not wandered further <head>down</head> that path than he knew , whether the playboy and gilded youth had not taken over from the redoubtable fighter .	1(1)
Two Swiss Red Cross workers kidnapped <head>in</head> Sidon	1(1)
Teenagers <head>with</head> sporty slogans on the back of their jackets sat attentively amid the rest of the crowd .	2(2) 3(2a)
Steam rises <head>off</head> the ground , drying the fields as the morning sun tackles the night 's cold dew .	1(1)
She trailed wearily <head>into</head> the kitchen to clear away the tea-things , her thoughts turning to Barney .	3(3)
Sam and Anna had disappeared <head>round</head> a curve in the path .	6(3a)
Human deaths <head>from</head> snake bites are caused mainly by accident .	12(9)
But once one got into Teacher Training College one paid no attention <head>to</head> the course .	8(3)
She scurried <head>around</head> the corner into Barley Hill , but by the time she reached number 52 her hair was glistening with raindrops .	4(3)-1
Murray , he alleged , then had gone to the bothy next door where he had injected three men <head>with</head> heroin .	5(3a)
I would like to expand on the same topic by expressing my thoughts <head>on</head> the structures that exist , or fail to exist , in this country to help promising junior players become accomplished professionals .	8(3)
At a formal dinner party , you have an excuse to be extravagant <head>with</head> the floral decorations .	5(3a)
"` They drive you mad , "" I said , thinking of the time I was about to murder my husband <head>with</head> the pressure-cooker , ` did he do exercises in bed ? """	4(3)
I stayed <head>with</head> Robert Fraser for some years and it all ended with Robert going to jail on the famous drug bust with the Rolling Stones .	1(1)
And on that note , we fold up our tents of correspondence and steal gladly <head>into</head> the night -- DQ	3(3)
It occurred to him as he was crashing about in the cupboard <head>among</head> his own old mackintoshes , tennis racquets , gum boots , and broken picture frames that he might be doing the wrong thing .	1(1)
Rubin himself appeared on stage for a pep talk , a short and stocky 40ish fellow <head>in</head> business blues .	1(1)-1
The thin pelts of hair ( phocid ) seals and denser pelts <head>of</head> fur seals probably afford better protection against wind-chill than against the cold of the sea ( Figure 6.5 ) .	6(3)
Mr Pigdon picked up the candle which had been ready to light him to bed from a shelf in an alcove by the door , and bustled past the visitor <head>down</head> the hall .	3(1b)
Mrs Ridley settled herself in a green velvet armchair , laying her stick carefully <head>on</head> the floor beside her .	5(1d)
In order to re-affirm his declared commitment to a liberal and secular state , Ben Ali retained Mohamed Charfi <head>as</head> Minister for National Education , Higher Education and Scientific Research ; fundamentalist students had demanded his resignation .	1(1)
The protest issued <head>from</head> her lips like a cry of despair .	4(3)
He stooped <head>over</head> it , peering down .	2(1a)
But his enthusiasm is far more apparent when he speaks <head>about</head> Christopher -- who has a non-verbal IQ of between 40 and 70 -- and their extraordinary first meeting .	1(1)
Henry peeped <head>inside</head> the foyer .	2(1a)
The computer can give questions for the user to ask , and also draw inference <head>from</head> the answers .	13(10)
This two-week festival starts today with the announcement <head>of</head> the winner of the Smarties Book Prize , a day of associated children's activities, and the beginning of an ambitious community event to construct the longest poem in the English language.	9(5)
Already the water was bubbling <head>above</head> the metal floor grille on which he was standing and the submarine had adopted a strange , unnatural posture , leaning to one side .	1(1)
"` I 'm sure Daddy was far from delighted to see a bottle of whiskey drank in the house , "" Rose was doubtful <head>about</head> the whole idea ."	1(1)
The Salle des Marechaux : scene of the great receptions and balls <head>at</head> the Tuileries .	1(1)
This cash haemorrhage intensified after 1982 , when the society hired <head>as</head> its director James Bell , a genealogist now demonised as the administrator most responsible for the institution 's demise .	1(1)
And it was then she had decided that war work or not , her daughter 's excursions <head>with</head> convalescent wounded must stop at once .	1(1)
"The SADF statement contradicted an earlier admission <head>by</head> President F.W. de Klerk that the SADF had trained 150 Inkatha members in 1986 in "" VIP protection "" ."	3(1b)
During the call she discovered that Gamal had gone with some of his friends to an island <head>on</head> the coast of Florida .	2(1a)
The empty tin cash-box lay gaping open in one corner , twisted and crumpled as if someone had stamped <head>on</head> it repeatedly .	5(1d)
They could feel angry , embarrassed and even guilty because of the comments of over-anxious parents who keep hinting about their longing <head>for</head> grandchildren , or make it clear that they think there should be no more .	6(5)
"` NEWSBOY ABDUCTED <head>ON</head> PAPER ROUND . """	17(8)
When under attack -- as Protestants should know so well -- a beleaguered community tends to retreat <head>towards</head> a harder line .	1(1)
` Tall guys <head>in</head> blue uniforms and cars with flashing lights on top .	1(1)-1
The message behind the television and radio campaign was reinforced by a mother who told of her only daughter being killed three years ago <head>by</head> a drunken motorist .	3(1b)
When fixing <head>into</head> the ceiling , you should ensure that you screw directly into the joists .	1(1)
The variety in shape , size and function has also improved and specific brushes are now manufactured <head>for</head> a myriad of tasks in food industries .	5(4)
Very few food poisoning bacteria grow if they are colder than 5 C and they are killed if heated <head>above</head> 63 C .	9(3)
Without attempting here to formulate such a scheme <head>in</head> any comprehensive way I propose to consider some of the important elements which would enter into it .	9(7)
In this simple contrast is reflected a century <head>of</head> change .	3(1b)
When a system is unjust <head>to</head> the core , abolition , not reform , is what respect for justice demands .	6(2a)
The more that de Man can encourage the illusion of unmediated congress between reader and text , the less obliged he is to formulate potentially alienating propositions <head>of</head> his own .	6(3)
Crabs that live in areas where empty shells are scarce select relatively large shells when given a free choice , compared with crabs living where there is an abundance <head>of</head> empty shells .	3(1b)
Merseyside 's pubs are the best value and friendliest <head>in</head> Britain and that 's official .	6(4a)-1
A constable led her <head>along</head> the corridor past fluttering notices and an electric clock that had stopped .	1(1)
But the judge was prepared to award a declaration that the government had not complied <head>with</head> their obligation to consult .	15(9)-1
The creature grunted , and with one swipe of a claw gouged a wound in the flank of Twoflower 's horse , which screamed and bolted <head>into</head> the trees at the roadside .	3(3)
A man was dozing <head>in</head> an old armchair .	1(1)
The town forced the army to withdraw <head>in</head> December 1990 , after soldiers opened fire on a peaceful demonstration , killing 13 villagers , including a nine-year-old boy .	3(2)
I compose a fax <head>to</head> Letterman .	8(3)
"All he seemed concerned about was finding a new tutor <head>for</head> Silvia . """	3(3)
Of 24,200 workers thrown <head>on</head> the dole last month , more than half were from the once prosperous region .	5(1d)
I often saw you sprawling <head>on</head> the floor or on a park bench , a joyous sunburst of creases radiating from your abandoned crotch , your jumping fly .	1(1)
Waller , still retreating , turning away to go back into his room , had mumbled something <head>about</head> something or other .	1(1)
Bugs creep <head>around</head> him through the tendrils and quite near a thrush is singing .	3(2)
His marriage to Aethelburh gave him a connection with cross-Channel diplomacy and his children by Aethelburh were kinsfolk <head>of</head> a Mer ovingian king in Gaul .	6(3)
A suitable form of wording could be devised to avoid the risk of inviting a flood <head>of</head> claims , spurious or genuine .	3(1b)
The Green movement is partly due to the flower people reaching a crest <head>of</head> economic power .	2(1a)
We know that the patient who can show distress <head>about</head> their condition , talk about it and share anxiety has a much faster recovery rate than one who suppresses such feelings .	1(1)
Connected by our infernal sound cable , and distributing our weight over as broad an area as possible , we crawled upwards again , <head>like</head> bears pretending to be spiders .	2(1a)
The old woman might become hysterical again and renew her accusations <head>about</head> Joseph , or she might follow Rain 's own reasoning and link Maurin with the attack at the museum and Sabine Jourdain 's murder .	1(1)
We echo your praise <head>of</head> generous Billy and would like to hear from other readers who have experienced similar acts of kindness .	12(6a)
Climb the hill and enter the echoing fifteenth-century Gothic church to peer <head>through</head> glass panels at the medieval foundations .	4(1c)
He smiled slowly and held her prisoner with his eyes while he removed his jacket <head>with</head> an almost leisurely air .	7(5)
There was a big owd fly settled on the smithy door ; and this owd boy took off his hat and was just a-goin' to swipe this fly <head>off</head> the door .	4(3)
Her shop in Pimlico is crammed <head>with</head> accessories and gifts .	5(3a)
He has been polite <head>to</head> Paul all along .	8(3)-1
To join the triangles <head>to</head> the shelf cover , place the right sides together and pin the first triangle to the centre of the shelf cover .	13(5)
She has encouraged me to talk about what happened before I got to that stage , and to think <head>about</head> what might have led up to it .	1(1)
It is not that he lies <head>about</head> them , rather that only a patient and omnivorous prospector would have found the particular treasures which he quotes .	2(1a)
He travels light , sauntering <head>from</head> aeroplane to passport control with his hands in his pockets and , seemingly , without a care in the world , while others struggle with bags , briefcases and duty-free , looking hot and bothered .	1(1)
Old subjects were recruited from local senior citizens ' social clubs and defined <head>as</head> those greater than 65 years of age .	1(1)
"The collision happened <head>off</head> Malaysia 48 hours after the Greek-registered ship left Singapore on a voyage advertised as a ` cruise to nowhere "" ."	3(2a)
Violence and aggression tend to be associated symbolically with eating , which is a one-way relationship of domination , and so is incompatible <head>with</head> mutuality which is symbolically associated with speech , a two-way relationship between equals .	9(7)
We drive along a train track <head>in</head> the middle of maize fields in clear luminous darkness .	1(1)
"I 'm a receptionist <head>for</head> a firm of estate agents in Berkeley Square . """	4(3a)
The four-and-a-half page Report was officially the sole product of the deliberations <head>of</head> fifteen MPs over forty days .	11(6)
The British yacht Sunbeam arrived in 1876 on a round-the-world voyage <head>with</head> its owner Thomas Brassey MP , his wife , children , guests and thirty-two crew members .	1(1)
"` Hang on , "" he grunted <head>to</head> Antony and clambered quickly to the top ."	8(3)
Prowess <head>at</head> the game is not enough .	8(4a)
SUMMER bathers have been warned to keep out of the lake <head>in</head> Middlesbrough 's Central Gardens .	1(1)
There was no way she would demand anything <head>from</head> him .	4(3)
The reunion will take the format of a drinks reception <head>at</head> Merchiston followed by dinner in an Edinburgh restaurant or hotel .	1(1)
From the same papyri we learn that the Ptolemies had picked up the well-known Sheikh <head>of</head> Transjordan , Tobiah , to command the military settlers in his territory .	6(3)
He was whistling to keep up his spirits , that was all , Robert said to himself as the boys clattered <head>after</head> him .	5(2)
Fabia got out , then found that before she could say a word , Ven was escorting her <head>inside</head> the hotel and waiting with her while she collected her room key .	1(1)
There was a boy there of my own age and we got drunk together at the far end of a room with a bottle <head>of</head> martini .	3(1b)-1
"I seem to recall that that was just about my worst nightmare -- trailing around <head>after</head> a consultant who thought medical students were the lowest form of life -- which they were , of course . """	5(2)
Gatting 's altercation <head>with</head> Shakoor Rana was to have a considerable effect on the West Indies Test rubber .	6(4)
The other two pondered over this morsel as they tramped <head>along</head> behind him .	1(1)
Why do cats suddenly make mad dashes <head>around</head> the house ?	3(2)
These nobles wear exotically decorated armour and carry tall lances , and they have distinctive back banners adorned <head>with</head> feathers .	5(3a)
Each night for the next two or three weeks , the army makes another long march <head>through</head> the forest until the grubs , which have been feeding voraciously , are fully grown and begin to turn into pupae .	1(1) 3(1b)
This piece was inspired by Turner 's paintings of Venice and Osborne attempts to reproduce <head>in</head> music some of the artist 's preoccupations with spectral lights refracted in the special atmosphere of the city .	9(7)
Intimidation by the IRA sent most Protestants and a number <head>of</head> moderate Roman Catholics fleeing from the district at an early stage of the Ulster political crisis .	3(1b)
To imagine or write otherwise , to situate black people throughout the pages and scenes of a book <head>like</head> some government quota , would be ludicrous and dishonest .	3(1b)
He never nicked an apple <head>off</head> the cart ( he did n't go much for fruit and veg ) , he was probably too honest .	4(3)
This is then used to split water <head>into</head> hydrogen and oxygen , creating a fuel which is portable , cheap and very clean .	7(7)
The first option is to strip the property <head>from</head> the company and sell it separately .	10(7)
I went for a walk <head>in</head> the woods .	1(1)
You can ask for notification <head>in</head> writing if you wish .	9(7)
"In Quattro Pro for Windows , Borland has alleviated the problem <head>with</head> its ` notebook spreadsheet "" concept ."	4(3)
He has a stare that can fill a man with dread -- a quiet , almost contemptuous look which shakes you <head>to</head> your boots .	6(2a)
Since the US Navy pulled out a year ago , Dunoon and Cowal has suffered a $10 million drop in its economy and unemployment has soared <head>to</head> 18 per cent .	6(2a)
I cooked it over a fire or dried it <head>in</head> the sun .	7(5)
Draw a plan on each page to show where the colour is each month , and add comments <head>about</head> future planting .	1(1)
If you glance <head>inside</head> the average modern book you will clearly see the mull or tape strips under this paste-down ( as compared with the free endpaper ) .	2(1a)
One about the soldier-hero Lei Fung who was renowned for his good deeds , as well as for his exemplary adherence <head>to</head> Chairman Mao 's revolutionary line .	14(6)
The air was cool , the grass was damp <head>with</head> dew , and there was a faint mist hanging over the nearby fields .	11(7b)
This plethora <head>of</head> configuration options means that you must ensure that you have the manuals for both drives .	3(1b)
It was wood panelled and stuffed <head>with</head> leather chairs .	5(3a)
Useful contributions from the tail swelled the score <head>to</head> 451 , leaving India a distant victory target of 372 .	6(2a)
Molotov was opposed to the evacuation <head>of</head> any Soviet military bases for fear of setting a dangerous precedent which could apply to other similar and more important issues .	12(6a)
The waters now seen are those of Loch Hourn , an inlet <head>of</head> the Sound of Sleat extending ten miles inland and , in its narrow further reaches , the most impressive of the western sea lochs .	6(3)
Oxford , as unfamiliar with failure as Cambridge are to success , left it to president Pinsent to face the instant inquests following the four and a half mile slog <head>from</head> Putney to Mortlake .	1(1)
Mockery from others over one 's appearance ; withdrawal of external appreciation <head>of</head> your beauty .	12(6a)
In retrospect , George Eliot even discerns this quality <head>in</head> eighteenth-century Gothic , which seems to us now comparatively playful and exuberant .	7(5)
From the base of the leaf a spike appears , bearing two lots of bobbles containing thousands <head>of</head> fern spores .	3(1b)
He took out his cigarette case , laid it <head>beside</head> him .	1(1)
Now he has decamped <head>to</head> Hollywood , where his blandly commercial approach and hit track record has won him this prestigious assignment , a high-concept , low-intelligence star vehicle .	1(1)
Aged 18 , she was given 0,000 from the fund to buy her famous Colherne Court flat , where she lived until her engagement <head>to</head> Charles .	9(4)
His motion is backed by Lionel Randall , last year 's chairman <head>of</head> the council .	6(3)
She pushed her chair back and threw the debris <head>from</head> the ashtray into her wastepaper basket .	1(1)
The latest official evidence shows that just under 70 per cent of adults <head>with</head> a disability -- 4.2 million people -- are over the age of 60 , compared with 25 per cent of the general population .	2(2)
When the spinning finally settled , he searched <head>for</head> her running figure .	5(4)
But its conception <head>of</head> the international economy is different from that of world-system theories because it sees it as created and conditioned by the rivalry between different nation-states .	12(6a)
He wound his way through us as we sat fascinated at the sight as Geordie tiptoed <head>down</head> the beach towards the sea , his top part a deep tan , from the waist down a dirty white colour .	3(1b)
Some exchange <head>about</head> holidays , even the weather , sets the scene ; then the interview can begin .	1(1)
It was clear that she had not expected to find him <head>in</head> the room .	7(5)
But if these kinds of books are discarded the dialogue <head>between</head> the generations vanishes .	4(4)
"His passion for , and expertise <head>with</head> oddballs has made his features very popular , and he is known as a thorough and punctual answerer of readers "" queries ."	9(7)
Some showed neatly dressed Annamese families smiling <head>from</head> the doorways of houses set in small gardens beside groves of rubber trees .	4(3)
By the end of January Myanman refugees were also streaming <head>into</head> Thailand and India .	1(1)
He proposed a march <head>from</head> Coalisland to Dungannon , ending with a rally in the town 's Market Square .	1(1)
At least , it would be pathetic if he always remembered to limp <head>on</head> the same leg .	4(1c)
"` Well , I could make it werf yer while , "" she said fluttering her eyelashes <head>at</head> him ."	9(5)
"The decision was taken after other member countries refused to accept US demands for a reduction of its contribution to the ISO 's budget and for its redefinition <head>as</head> a "" study group "" rather than a body with price-stabilizing powers ."	1(1)
Maybe it is they who are being too timid <head>in</head> their ideas and proposals .	6(4a)
The crude use made of Freud was exemplified by Leo Abse 's condemnation <head>of</head> women politicians as aberrant ' :	12(6a)
With that check came renewed questioning <head>about</head> the balance between services provided by the social services departments and the many forms of family , neighbourhood and commercially purchased care that they supplemented .	1(1)
The most recent practice has been the stealing <head>of</head> seeds .	12(6a)
Greece took emergency action on two consecutive days in October as air pollution soared <head>above</head> safety levels .	9(3)
The car flew up <head>onto</head> the Westway .	1(1)
Giles Gordon has sold two thrillers <head>by</head> ex- Mirror editor Mike Malloy to Caroline Upcher at Sinclair-Stevenson , who has already published Sweet Sixteen and is about to publish his Cat 's Paw .	4(1c)
Recent initiatives like primary nursing and the pronouncements <head>of</head> the Royal College of Nursing ( 1989 ) take this trend further .	6(3)
"` Are you admitting I 've hit the nail <head>on</head> the head ? """	2(1a)
Two years served and four to go because one in the chain had not owned the strength to withstand the interrogation <head>of</head> the KGB questioners in Lubyanka .	6(3)
Despite last month 's bruising row <head>over</head> the fate of the German-Polish border , further Kohl victories would also be better for Germany 's neighbours than Kohl defeats .	16(7)
We watched from our window as Mick Jagger gave his free concert in Hyde Park , stood on our seats at the Albert Hall for Janis Joplin 's last performance , and traipsed <head>to</head> Avebury and Stonehenge for equinoctial celebrations .	1(1)
They were trying too hard to make this weekend a fitting finale <head>to</head> their affair , to match or recapture all that had gone before -- to make a memory to cherish .	10(4a)
If you 're going to sneak <head>round</head> the place whenever it suits you , I 'd rather be back in the hotel .	8(4)
Single White Female star JENNIFER JASON LEIGH once dated ERIC STOLTZ , the current boyfriend <head>of</head> BRIDGIT FONDA , who is Ms Leigh 's room-mate in SWF .	6(3)
For many decades Great Britain had undisputed mastery <head>of</head> the seas .	9(5)
It could have recognised the independence of Bosnia and begun a negotiated withdrawal <head>to</head> Serbia and Montenegro .	1(1)
Dougal rested the transmitting end of the handset <head>against</head> the speaker of his battery-operated tape recorder .	10(4)
Harvests decreased <head>by</head> 21.22 per cent and stock markets registered a annual fall in value of 68 per cent .	12(3)
He lodged <head>with</head> the scholarly Tjokroaminoto whose household was a kind of ashram , and who introduced the latest arrival to the new nationalism of Sarekat Islam .	1(1)
His initial high hopes of a clear-cut solution to the Wetherby murder were plummeting <head>in</head> direct relation to his blood sugar .	6(4a)
"And they were awarded a host <head>of</head> qualifications , from GCSE and ` A "" level to RSA , C , College Dip and BTEC , although non-examined courses absorbed the majority ."	3(1b)
A gardener <head>for</head> 62 years , Mr. Wakeford on this occasion turned his enthusiasm to wild flowers .	12(10)
His trousers were ripped and the blood seeped <head>down</head> his leg from the gash inches above his knee .	1(1)
The waitress trotting along <head>beside</head> her had seemed unsettled by the other man 's eyes .	1(1)
The school 's headmaster says this sort <head>of</head> information is more important to parents .	10(5a)
In this chapter we have looked at the extent to which chronic sickness rates as reported on the GHS are predictable <head>from</head> death rates .	13(10)
Indignant <head>over</head> suggestions that the Prime Minister has replaced his Jaguar with a Rover , Nigel Lawson can at least draw comfort from the fact that he is a wanted man in the City .	16(7)
Everyone has her own definition <head>of</head> contentment .	12(6a)
Otherwise I 'll nibble <head>on</head> fruit or something to convince myself that I 'm eating well !	9(3a)
The crowds weaved <head>around</head> the barrow boys selling Christmas wrapping paper and ribbon and those party-popper things which went bang and sent streamers of shredded Hong Kong daily newspapers across the room .	4(3)-1
The only part of the globe not mentioned is the Antipodes , for Joseph Banks and Daniel Solander had not yet returned from their voyage <head>with</head> Captain Cook in the Endeavour and plants from Australia , New Zealand and the Pacific Islands had yet to be described .	1(1)
Millions of men had been butchered <head>during</head> the first World War , and in post-war years , the ratio of births , as I understand it , was four to one in favour of baby girls .	1(1)
The head <head>of</head> Cardiff University 's health psychology research unit revealed yesterday that 400 volunteers had been given cold virus nose drops .	6(3)
The major objectives of this system were to guarantee the individual a measure <head>of</head> economic security and to ensure that each family was not permanently debarred from participating in the economic life of the nation through temporary misfortune .	3(1b)
The brilliance of the blue and gold morning , the fragrance <head>of</head> fresh-ground coffee , the tranquil pool and bewitching glimpse of blue sea beyond -- it was all in marked contrast to her bleak mood .	6(3)
Two men were last night helping police investigating a till snatch <head>from</head> a wine shop in North Shields town centre .	10(7)
According to the constitution , Mr Havel should be elected by December 24 -- within two weeks of the resignation <head>of</head> President Husak .	12(6a)
It was even possible to scent resin oozing <head>from</head> the hot wood of a dock , the air of warmth and freedom .	1(1)
But in a series of remarks broadly encouraging <head>to</head> solicitors , Lord Mackay said the lay-dominated advisory committee would be likely to consider what happens in other countries where there was no enforced separation of the two functions .	8(3)-1
On March 18 , the United Kingdom government for the first time gave permission for 375 relatives <head>of</head> Argentinian soldiers killed in the 1982 Falklands war to visit their graves on the islands .	6(3)
Some of the wine spilled <head>from</head> the bottle to the floor .	4(3)
Sweating with fear she wriggled <head>through</head> the hole , then ducked under the freight car and crawled slowly forward on her belly between the two sets of rails .	1(1) 3(1b)
The sergeant hobbled <head>along</head> the red carpet in his flip-flops and paused alongside a line of footpaths containing a bright purple solution and cubes of ice .	1(1)
In other countries , such as France , where central government has more extensive authority over teachers , the opposite assumption tends to be made that teachers will conform <head>to</head> national policies and regulations in their practice .	14(6)
It happened <head>before</head> her mother 's death , when she was staying two weeks in the villa with her father .	1(1)
The Grand Army had been marching <head>along</head> the west bank of the Goldbach , parallel to enemy , and away from its base in the Austrian capital .	1(1)
Sometimes thought to be the souls of unbaptised children and unrepentant sinners , their bloodcurdling howls were an omen <head>of</head> death to all who heard them .	9(5)
He shoved a paper <head>at</head> her .	9(5)
The other waitress whined <head>about</head> the increased work when Sharon explained what was happening but Blanche silenced her with a steely glare .	1(1)
After a long deliberation <head>by</head> the jury , Mr Dodd was cleared of wilfully avoiding tax on the considerable sums of money he had hidden , but had to pay large amounts of tax considered owing , as well as legal costs .	3(1b)
If such assumptions are correct , if ageing is an inevitable period of withdrawal <head>from</head> the social process , why should we intervene ?	10(7)
The incident happened in February last year , while Frak was working <head>at</head> the Ashbury Lodge Nursing Home in Marlborough Road in Swindon .	1(1)
8 The stimulus is the pin which when pressed <head>onto</head> the hand , causes us to feel pain .	1(1)
The herdsman beat a tactful retreat <head>to</head> the end of the cowshed and then I took the opportunity to say what I thought .	1(1)
After a few years , the Earl settled down to a more responsible way of life as a serious politician , Rector of Glasgow University , Lord Lieutenant of Ayrshire and Viceroy <head>of</head> Ireland .	6(3)
He shuffled awkwardly <head>towards</head> the door .	1(1)
Cranston , breathing heavily , looked down , curiously watching the figures below as they scurried around <head>like</head> black ants on the various tasks of the garrison .	2(1a)
He caught the pliers that she threw <head>to</head> him , and the ball of string , and then went to hold the step-ladder steady while Kitty descended .	1(1)
The meeting <head>between</head> Brady and the directors has been made to sound more like a summons than a request .	4(4)
She backed hurriedly from the chamber and <head>along</head> the passageway .	1(1)
"` I 'm not quite sure , "" Mait replied <head>with</head> lowered brows ."	7(5)
